    
imgId;itemId;ItemName
1545;19;Belkar Stone
1546;20;Blausariam Stone
3733;1164;Blues Rock
1543;21;Caldorite stone
1638;22;Cobalt Stone
1554;23;Copper Stone
5996;2083;Cordul Stone
1550;24;Cumbriz Stone
7755;2713;Cyrenium Ore
6056;1736;Dark Lysterium
1952;25;Dianum Ore
1548;26;Durulium Stone
1636;27;Erdorium Stone
3231;1060;Erionite Stone
6039;2283;Fairuz Stone
3734;1163;Folk Rock
5994;2105;Frakite Stone
1951;28;Frigulite Stone
1257;349;Ganganite Stone
1544;29;Gazzurdite Stone
3735;1165;Glam Rock
1553;30;Gold Stone
3736;1166;Grunge Rock
1719;570;Hansidian Rock
3737;1167;Hard Rock
4660;1526;Hebredite Stones
2308;611;Himi Rock
1549;31;Ignisium Stone
3233;1056;Iolite Stone
5499;1759;Iridium Ore
1541;32;Iron Stone
3739;1168;Jazz Rock
6167;1874;Kaisenite Stone
929;33;Kanerium Ore
4645;1480;Kaz Stones
1817;477;Kirtz Stone
1552;34;Langotz Ore
1273;502;Lanorium Stone
4659;1515;Lidacon Stones
6180;2319;Lulu Stone
1540;35;Lysterium Stone
1539;36;Maganite Ore
;2220;Maladrite Stone
6645;2480;Maro Stone
1542;37;Megan Stone
6648;2481;Melatinum Stone
1966;622;Morpheus Stone
;1864;Motorhead Keg
1556;38;Narcanisum Stone
1551;39;Niksarium Stone
6231;2337;Nosifer Stone
6233;1870;Olerin Stone
4682;1509;Ospra Stones
1256;368;Petonium Stone
1950;40;Platinum Stone
6380;1715;Praetonium
3743;1169;Punk Rock
3235;1058;Pyrite Stone
6402;2408;Qasdeer Stone
2397;41;Quantium Stone
2848;982;Redulite Ore
3744;1170;Reggea Rock
1639;42;Rugaritz Ore
8041;2757;Sorensens Stone
6290;1732;Sothorite Ore
6635;2477;Sunburst Stone
5610;1919;Tananite Ore
3745;1171;Techno Rock
4687;1504;Telfium Stones
1555;43;Terrudite Stone
2655;44;Tridenite Ore
1640;45;Valurite Stone
4681;1502;Veda Stones
2844;981;Vesperdite Ore
4657;1531;Wenrex Stones
6327;2371;Wiles Stone
2567;46;Xeremite Ore
6633;2430;Yashib Stone
;2760;Ycyan Ore
4654;1517;Yulerium Stones
2696;965;Zanderium Ore
1547;47;Zinc Stone
6004;2241;Zircon Stone
5460;1729;Zorn Star Ore
4658;1524;Zulax Stones
1271;505;Acid Root
368;5;Alicenies Liquid
707;6;Angelic Grit
1900;571;Angel Scales
708;350;Ares Head
1255;481;Azur Pearls
1392;7;Binary Fluid
4319;1434;Black Russian Cocktail Mix
1820;609;Blood Moss
5982;1756;Blue Crystal
;2753;Blue Icy Crystal
5981;2085;Bodai Dust
1270;504;Cave Sap
6255;1758;Clear Crystal
395;15;Crude Oil
1729;587;Devil's Tail
3202;1030;Dianthus Liquid
3526;8;Dunkel Particle
4646;1490;Edres Resin
3203;1031;Energized Crystal
1965;589;Ferrum Nuts
3230;1032;Fire Root Globule
4625;1492;Florican Mist
525;9;Force Nexus
699;10;Garcen Grease
6132;2293;Ghali
6134;2091;Gorbek Emulsion
5477;1740;Green Crystal
1258;11;Growth Molecules
4351;1423;Harvey Wallbanger Cocktail Mix
5883;2216;Hazy Crystal
2697;959;Henren Stems
3738;1172;Hurricane Cocktail Mix
4655;1499;Hydrogen Steam
4396;1379;Kamikaze Cocktail Mix
4293;1424;Long Island Ice Tea Cocktail Mix
6173;2096;Lotium Fluid
1488;509;Lumis Leach
949;12;Lytairian Dust
526;13;Magerian Mist
3740;1173;Mai Tai Cocktail Mix
6191;2239;Mamnoon
706;14;Melchi Water
4425;1269;Mojito Cocktail Mix
6227;2334;Nawa Drops
7983;2770;Nawa Fragment
3741;1174;Nirvana Cocktail Mix
5595;1912;Orange Crystal
4677;1528;Pel Crystals
8039;2755;Phlogiston
3742;1175;Pina Colada Cocktail Mix
5596;1858;Purple Crystal
;2671;Qaz Worm
4629;1488;Quil Sap
6412;2413;Rainbow Crystal
5597;1869;Red Molten Crystal
6281;2245;Sham
2044;364;Solis Beans
4647;1529;Somin Tar
4675;1519;Star Particles
372;116;Sweetstuff
1254;16;Typonolic Steam
2307;613;Vegatation Spores
4627;1486;Vorn Pellets
4390;1370;Whiskey Sour Cocktail Mix
4684;1522;Xelo Haze
5462;1730;Yellow Crystal
6342;2377;Youd
6271;2343;Zoldenite Dust
4628;1478;Zolphic Oil
1731;581;Adomasite Ingot;
1500;385;Alferix Ingot;
4097;1147;Alternative Ingot;
5988;2244;Aqeeq Ingot;
5987;2104;Arekite Ingot;
5712;1974;Aumorphite Ingot;
1501;386;Azzurdite Ingot;
4637;1498;Banite Ingot;
1502;387;Belkar Ingot;
1503;388;Blausariam Ingot;
4098;1148;Blues Ingot;
1504;389;Caldorite Ingot;
5707;1977;Chalinum Alloy
1505;390;Cobalt Ingot;
5711;1975;Cobaltium Ingot;
1506;391;Copper Ingot;
5977;2084;Cordul Ingot;
1507;392;Cumbriz Ingot;
7756;2714;Cyrenium Ingot;
8038;1737;Dark Lysterium Bar;
1509;393;Dianum Ingot;
1510;394;Durulium Ingot;
1511;395;Erdorium Ingot;
3232;1061;Erionite Ingot;
6038;2284;Fairuz Ingot;
4096;1149;Folk Ingot;
5976;2106;Frakite Ingot;
5708;1978;Frigulerian Dust
1512;396;Frigulite Ingot;
5713;1976;Galaurphite Ingot;
;1971;Galvesperdite Ingot;
1513;452;Ganganite Ingot;
1514;397;Gazzurdite Ingot;
4092;1150;Glam Ingot;
1515;398;Gold Ingot;
4095;1151;Grunge Ingot;
1720;580;Hansidian Ingot;
4094;1152;Hard Ingot;
4644;1525;Hebredite Ingot;
1949;620;Himi Ingot;
1516;399;Ignisium Ingot;
3234;1057;Iolite Ingot;
5500;1760;Iridium Ingot;
1517;400;Iron Ingot;
4093;1153;Jazz Ingot;
;1875;Kaisenite Ingot;
1518;401;Kanerium Ingot;
4642;1481;Kaz Ingot;
1519;476;Kirtz Ingot;
1520;402;Langotz Ingot;
1521;503;Lanorium Ingot;
5611;1920;Leethiz Ingot;
4639;1516;Lidacon Ingot;
6179;2318;Lulu pearl
1522;403;Lysterium Ingot;
;1967;Lystionite Steel Ingot;
1523;404;Maganite Ingot;
6189;2221;Maladrite Ingot;
6644;2434;Maro Ingot;
1524;405;Megan Ingot;
6649;2482;Melatinum Ingot;
1967;623;Morpheus Ingot;
1525;406;Narcanisum Ingot;
1526;407;Niksarium Ingot;
;1871;Olerin Ingot;
4635;1510;Ospra Ingot;
1527;456;Petonium Ingot;
1908;408;Platinum Ingot;
7977;1712;Praetonium Ingot;
4389;1154;Punk Ingot;
3236;1059;Pyrite Ingot;
6401;2407;Qasdeer Ingot;
1528;409;Quantium Ingot;
2846;984;Redulite Ingot;
8042;2758;Refined Sorensens Stone;
4017;1155;Reggea Ingot;
1529;410;Rugaritz Ingot;
5709;1979;Solares Ingot;
7776;1733;Sothorite Ingot;
6634;2445;Sunburst Ingot;
4421;1156;Techno Ingot;
4641;1505;Telfium Ingot;
1530;411;Terrudite Ingot;
2309;412;Tridenite Ingot;
1531;413;Valurite Ingot;
4636;1503;Veda Ingot;
2845;983;Vesperdite Ingot;
4634;1530;Wenrex Ingot;
7783;2736;Wiley Ingot;
1909;414;Xeremite Ingot;
6632;2446;Yashib Ingot;
;2511;Ycy Ingot;
4640;1518;Yulerium Ingot;
3050;966;Zanderium Ingot;
1532;415;Zinc Ingot;
6005;2242;Zircon Ingot;
5461;1728;Zorn Star Ingot;
4638;1523;Zulax Ingot;
